metal,unit,year,mean,median,min,max,origin_var
Aluminium,kg metal/kg vehicle,2020,0.245611249491411,0.245611249491411,0.245611249491411,0.245611249491411,ICEV
Antimony,kg metal/kg vehicle,2020,1.16903e-06,1.13421e-06,7.42882e-07,1.66017e-06,ICEV
Beryllium,kg metal/kg vehicle,2020,2.78421e-09,3.26361e-09,1.62082e-09,3.70878e-09,ICEV
Cerium,kg metal/kg vehicle,2020,6.21894e-06,2.53561e-08,1.09462e-08,4.90909e-05,ICEV
Cobalt,kg metal/kg vehicle,2020,3.03852e-06,3.5618e-06,1.94808e-06,3.73687e-06,ICEV
Dysprosium,kg metal/kg vehicle,2020,9.23002e-06,2.77106e-08,1.35318e-08,6.483e-05,ICEV
Erbium,kg metal/kg vehicle,2020,6.75e-08,9e-08,0.0,1.125e-07,ICEV
Europium,kg metal/kg vehicle,2020,7.22443181818182e-08,5.625000000000001e-09,5e-09,2.727272727272728e-07,ICEV
Gadolinium,kg metal/kg vehicle,2020,3.98703e-08,1.8588e-08,5e-09,2.15455e-07,ICEV
Gallium,kg metal/kg vehicle,2020,8.31459e-08,3.12931e-08,1.52536e-08,2.85e-07,ICEV
Germanium,kg metal/kg vehicle,2020,1.50779e-08,1.80126e-08,9.50099e-09,1.86444e-08,ICEV
Gold,kg metal/kg vehicle,2020,1.45186e-07,1.37131e-07,9.24298e-08,2.1005e-07,ICEV
Indium,kg metal/kg vehicle,2020,4.61551e-08,1.27911e-08,6.10885e-09,1.9e-07,ICEV
Lanthanum,kg metal/kg vehicle,2020,4.59599e-06,4.37424e-06,0.0,7.38561e-06,ICEV
Lithium,kg metal/kg vehicle,2020,0.000391553,6.20866e-08,2.92293e-08,0.00312828,ICEV
Manganese,kg metal/kg vehicle,2020,0.00560688,0.00560688,0.00560688,0.00560688,ICEV
Molybdenum,kg metal/kg vehicle,2020,4.88061e-07,5.57365e-07,3.10458e-07,6.11758e-07,ICEV
Neodymium,kg metal/kg vehicle,2020,5.49346e-05,2.09789e-06,9.75131e-07,0.00026594,ICEV
Niobium,kg metal/kg vehicle,2020,1.74058e-05,3.93236e-08,1.94676e-08,5.457e-05,ICEV
Palladium,kg metal/kg vehicle,2020,4.60471e-07,5.36362e-08,2.48523e-08,1.66154e-06,ICEV
Platinum,kg metal/kg vehicle,2020,2.1489e-06,7.14349e-07,6.74934e-09,9.92369e-06,ICEV
Praseodymium,kg metal/kg vehicle,2020,2.49949e-06,5.25653e-08,2.61183e-08,1.85455e-05,ICEV
Rhenium,kg metal/kg vehicle,2020,2.57213e-10,2.84841e-10,1.55288e-10,3.45001e-10,ICEV
Rhodium,kg metal/kg vehicle,2020,5.416666666666668e-09,5e-09,5e-09,6.2500000000000005e-09,ICEV
Ruthenium,kg metal/kg vehicle,2020,2.88634e-09,3.44265e-09,1.69437e-09,3.75672e-09,ICEV
Rubidium,kg metal/kg vehicle,2020,4.34244e-09,4.33599e-09,2.54969e-09,6.32476e-09,ICEV
Samarium,kg metal/kg vehicle,2020,1.4997616709030111e-06,1.4595378571428571e-06,2.6875e-07,2.8249124137931035e-06,ICEV
Scandium,kg metal/kg vehicle,2020,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,ICEV
Silver,kg metal/kg vehicle,2020,7.67228e-07,8.0603e-07,4.66444e-07,1.07537e-06,ICEV
Strontium,kg metal/kg vehicle,2020,7.09354e-05,8.26392e-05,4.5496e-05,8.73036e-05,ICEV
Tantalum,kg metal/kg vehicle,2020,1.86864e-06,6.49388e-07,3.10939e-07,5.415e-06,ICEV
